year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1901,-0.281,-0.268,-0.201,-0.175,-0.249,-0.237,-0.329,-0.205,-0.355,-0.341,-0.396,-0.485,-0.293
1901,87,88,87,89,86,87,86,87,89,87,87,86,
1902,-0.44,-0.232,-0.474,-0.431,-0.43,-0.445,-0.389,-0.425,-0.373,-0.501,-0.563,-0.566,-0.439
1902,88,86,89,89,88,90,91,91,86,86,87,86,
1903,-0.434,-0.24,-0.398,-0.588,-0.516,-0.548,-0.505,-0.601,-0.56,-0.665,-0.63,-0.714,-0.533
1903,85,90,90,89,91,89,90,91,89,88,90,92,
1904,-0.807,-0.77,-0.696,-0.647,-0.609,-0.564,-0.553,-0.478,-0.597,-0.553,-0.397,-0.5,-0.598
1904,90,90,87,87,90,90,89,91,89,89,88,90,
1905,-0.463,-0.72,-0.524,-0.559,-0.434,-0.343,-0.373,-0.304,-0.345,-0.335,-0.217,-0.274,-0.408
1905,89,87,88,88,90,87,91,89,87,87,91,90,
1906,-0.297,-0.389,-0.29,-0.104,-0.377,-0.233,-0.343,-0.271,-0.353,-0.322,-0.532,-0.321,-0.319
1906,87,91,88,88,89,91,87,91,88,85,88,88,
1907,-0.529,-0.619,-0.438,-0.478,-0.645,-0.544,-0.425,-0.491,-0.399,-0.336,-0.556,-0.59,-0.504
1907,90,89,88,90,90,90,90,89,91,86,91,92,
1908,-0.466,-0.414,-0.704,-0.588,-0.453,-0.413,-0.401,-0.481,-0.387,-0.575,-0.645,-0.638,-0.514
1908,87,89,91,92,89,87,89,88,87,91,90,93,
1909,-0.763,-0.536,-0.652,-0.633,-0.592,-0.5,-0.524,-0.337,-0.416,-0.495,-0.387,-0.596,-0.536
1909,91,88,89,89,89,89,93,90,89,91,90,93,
1910,-0.433,-0.529,-0.619,-0.535,-0.537,-0.559,-0.435,-0.389,-0.423,-0.485,-0.672,-0.757,-0.531
1910,93,91,87,87,90,90,88,87,87,89,92,90,
1911,-0.668,-0.706,-0.764,-0.644,-0.627,-0.554,-0.493,-0.506,-0.498,-0.345,-0.349,-0.315,-0.539
1911,92,90,91,89,90,88,90,90,81,85,88,89,
1912,-0.329,-0.315,-0.554,-0.338,-0.335,-0.285,-0.507,-0.572,-0.644,-0.679,-0.558,-0.591,-0.476
1912,91,93,91,90,93,91,92,91,88,90,91,91,
1913,-0.564,-0.55,-0.606,-0.534,-0.541,-0.551,-0.477,-0.396,-0.417,-0.438,-0.368,-0.164,-0.467
1913,92,93,93,90,93,91,92,93,91,92,90,93,
1914,-0.078,-0.27,-0.397,-0.409,-0.308,-0.308,-0.297,-0.245,-0.301,-0.11,-0.19,-0.237,-0.263
1914,92,93,93,93,92,92,92,91,83,89,88,88,
1915,-0.287,-0.22,-0.194,-0.083,-0.168,-0.172,-0.169,-0.067,-0.12,-0.286,-0.173,-0.362,-0.192
1915,90,86,86,89,86,85,87,85,89,86,86,89,
1916,-0.338,-0.264,-0.439,-0.375,-0.418,-0.495,-0.385,-0.297,-0.322,-0.374,-0.514,-0.821,-0.42
1916,88,83,87,83,86,82,84,87,86,86,85,83,
1917,-0.689,-0.716,-0.784,-0.546,-0.644,-0.479,-0.245,-0.333,-0.298,-0.536,-0.459,-0.787,-0.543
1917,86,80,86,86,83,83,80,78,83,86,82,77,
1918,-0.518,-0.672,-0.579,-0.623,-0.525,-0.387,-0.37,-0.43,-0.258,-0.119,-0.19,-0.424,-0.425
1918,84,80,83,80,79,80,80,81,78,78,74,77,
1919,-0.251,-0.242,-0.392,-0.211,-0.308,-0.358,-0.3,-0.238,-0.286,-0.259,-0.558,-0.503,-0.326
1919,77,79,77,77,82,85,81,81,80,81,83,84,
1920,-0.259,-0.546,-0.172,-0.337,-0.256,-0.238,-0.3,-0.227,-0.196,-0.218,-0.346,-0.488,-0.299
1920,85,87,85,81,86,81,85,88,86,87,83,88,
1921,-0.218,-0.295,-0.343,-0.291,-0.302,-0.154,-0.155,-0.321,-0.207,-0.134,-0.196,-0.271,-0.241
1921,89,88,87,87,88,88,87,90,89,89,88,90,
1922,-0.419,-0.409,-0.344,-0.291,-0.47,-0.293,-0.259,-0.356,-0.324,-0.345,-0.255,-0.305,-0.339
1922,91,92,90,91,90,92,90,92,92,91,91,91,
1923,-0.404,-0.494,-0.456,-0.41,-0.404,-0.253,-0.42,-0.324,-0.341,-0.176,-0.034,-0.1,-0.318
1923,92,90,92,90,92,91,91,91,92,91,91,90,
1924,-0.327,-0.315,-0.176,-0.342,-0.218,-0.276,-0.294,-0.317,-0.331,-0.366,-0.291,-0.492,-0.312
1924,91,92,91,90,92,90,92,90,89,88,92,90,
